id,first_name,last_name,birthdate,incident,incident_date
1,Joshua,Hodge,25/01/1990,Intoxication,31/07/2023
2,Tammy,Church,16/02/1998,Physical assault,31/08/2023
3,Christopher,Cohen,17/09/1946,Physical assault,06/01/2023
4,Benjamin,Perez,17/06/1958,Disturbance,03/10/2023
5,Matthew,Smith,11/11/1969,Sexual assault,09/11/2023
6,Vanessa,Herrera,02/01/1993,Sexual assault,18/05/2023
7,Christina,Adams,06/04/2002,Verbal assault,25/01/2023
8,Theresa,Anderson,21/11/1992,Sexual assault,29/09/2023
9,Mark,Burgess,19/07/1946,Physical assault,25/08/2023
10,Victor,Armstrong,12/06/1990,Disturbance,18/06/2023
