id,first_name,last_name,birthdate,incident,incident_date
1,Dawn,Guzman,12/01/1990,Disturbance,27/07/2023
2,Stacey,Barker,12/07/1960,Sexual assault,14/03/2023
3,Kevin,Johnson,06/05/1997,Sexual assault,13/03/2023
4,Ronald,Nelson,17/10/1976,Sexual assault,01/01/2023
5,Alexis,Ruiz,25/12/1944,Refused to comply with safety instructions,30/08/2023
6,Diana,Johnson,15/03/1968,Refused to comply with safety instructions,17/11/2023
7,Pamela,Terry,06/07/1978,Physical assault,07/04/2023
8,Michael,Mcgee,28/10/1981,Disturbance,28/02/2023
9,Ruth,Keller,18/11/1943,Intoxication,10/11/2023
10,Kevin,Huerta,08/06/1976,Sexual assault,15/05/2023
11,Megan,Miller,29/11/1951,Verbal assault,26/07/2023
12,Andrew,Turner,22/02/1982,Disturbance,13/05/2023
13,Lisa,Hodge,29/07/1993,Refused to comply with safety instructions,09/12/2023
14,Joel,Ferrell,23/03/1952,Sexual assault,01/05/2023
15,Yvette,Davis,02/04/1954,Disturbance,27/02/2023
16,Amanda,Oliver,05/01/1976,Intoxication,21/06/2023
17,Kelsey,Wilson,30/12/1978,Sexual assault,14/05/2023
18,Judy,Dennis,10/02/1959,Verbal assault,28/02/2023
19,Jessica,Gutierrez,17/05/1950,Refused to comply with safety instructions,09/12/2023
20,Angela,Keller,21/11/2000,Refused to comply with safety instructions,01/10/2023
21,Douglas,Gonzalez,01/07/1988,Intoxication,31/08/2023
22,Michael,Parsons,02/03/1997,Sexual assault,26/08/2023
23,Cheryl,Green,31/10/1952,Sexual assault,23/10/2023
24,Kayla,Hopkins,19/11/1968,Refused to comply with safety instructions,12/09/2023
25,Sarah,Garrett,24/05/1976,Refused to comply with safety instructions,04/03/2023
26,Tiffany,Rodriguez,02/08/1965,Sexual assault,19/09/2023
27,Taylor,Peters,28/07/1954,Sexual assault,07/12/2023
28,Patricia,Snyder,25/01/1979,Sexual assault,26/04/2023
29,Linda,Brooks,05/03/1967,Refused to comply with safety instructions,06/06/2023
30,David,Ortiz,05/08/1990,Intoxication,22/07/2023
31,Kenneth,Warren,14/09/1972,Refused to comply with safety instructions,01/09/2023
