id,first_name,last_name,birthdate,incident,incident_date
1,Joseph,Jackson,25/11/1993,Verbal assault,02/03/2023
2,Shannon,Davila,13/03/1996,Physical assault,12/01/2023
3,Michael,Simmons,26/01/1945,Intoxication,25/04/2023
4,Kathy,Walters,21/08/1971,Disturbance,04/05/2023
5,Tony,Wilcox,24/05/1974,Intoxication,12/03/2023
6,Ashley,Clark,09/11/1944,Physical assault,28/05/2023
7,Kelly,Hess,23/10/1949,Physical assault,17/05/2023
8,Matthew,Lopez,27/09/2001,Sexual assault,28/03/2023
9,Jason,Moody,08/08/1976,Refused to comply with safety instructions,06/05/2023
10,Nichole,Jones,23/02/1963,Sexual assault,10/07/2023
