id,first_name,last_name,birthdate,incident,incident_date
1,Brenda,Duffy,02/02/1969,Verbal assault,11/09/2023
2,Jill,Kelley,29/03/2001,Sexual assault,14/10/2023
3,Jose,White,24/01/1971,Sexual assault,27/11/2023
4,Austin,Conner,08/07/1969,Sexual assault,12/12/2023
5,Stephen,Shields,19/02/1983,Sexual assault,01/09/2023
6,Brian,Ward,27/08/2001,Disturbance,24/04/2023
7,Brian,Miller,26/08/1993,Verbal assault,16/04/2023
8,Kendra,Griffin,26/12/1974,Sexual assault,09/04/2023
9,Nancy,Reyes,01/08/1958,Intoxication,27/04/2023
10,Kelly,Morales,08/06/1975,Refused to comply with safety instructions,29/12/2023
