id,first_name,last_name,birthdate,incident,incident_date
1,Dawn,Schroeder,18/12/2002,Intoxication,26/04/2023
2,Kendra,Clark,15/09/1973,Sexual assault,16/07/2023
3,Patrick,Ramirez,16/04/1959,Verbal assault,13/09/2023
4,Alfred,Rose,24/11/1974,Intoxication,05/10/2023
5,Geoffrey,Jones,06/05/1951,Physical assault,04/05/2023
6,Melissa,Odom,24/07/1987,Verbal assault,21/10/2023
7,David,Haas,15/01/1966,Verbal assault,10/05/2023
8,Christine,Burke,13/08/1988,Sexual assault,02/11/2023
9,Anna,Harrison,28/09/1958,Disturbance,19/01/2023
10,Pamela,Browning,01/09/1968,Sexual assault,20/05/2023
11,Amy,Baldwin,27/08/1964,Intoxication,07/03/2023
12,John,Delgado,14/11/1998,Physical assault,03/04/2023
13,Tamara,Jones,06/03/1976,Disturbance,27/11/2023
14,Tyrone,Gross,16/11/1975,Refused to comply with safety instructions,20/10/2023
15,Rose,Francis,27/08/1991,Verbal assault,17/11/2023
16,Kevin,Miller,08/07/1947,Sexual assault,02/10/2023
17,Patricia,Phillips,17/02/1971,Sexual assault,19/11/2023
18,Jennifer,Galloway,10/04/1977,Disturbance,25/01/2023
19,Pamela,Richardson,12/12/1991,Disturbance,16/09/2023
20,Brenda,Yoder,26/05/1965,Sexual assault,30/03/2023
21,Jacqueline,Nguyen,15/08/1958,Intoxication,21/08/2023
22,Michele,Rivera,14/06/1943,Verbal assault,05/06/2023
23,Tamara,May,07/02/1945,Disturbance,19/03/2023
24,Emily,Stewart,07/03/2000,Refused to comply with safety instructions,19/11/2023
25,Cory,Black,26/12/1946,Sexual assault,12/09/2023
26,Jennifer,Roberts,01/09/1984,Physical assault,26/12/2023
27,Linda,Rasmussen,04/04/1976,Intoxication,04/03/2023
28,Kim,Watson,17/07/1955,Verbal assault,15/04/2023
29,Rhonda,Rice,12/06/2004,Physical assault,03/08/2023
30,Alec,Morales,18/01/1945,Verbal assault,04/05/2023
31,Alicia,Underwood,03/09/1957,Disturbance,05/01/2023
32,Crystal,Hall,03/10/1998,Intoxication,17/02/2023
33,Adrian,Davenport,09/08/1979,Intoxication,12/02/2023
34,James,Gilbert,18/04/1977,Intoxication,26/09/2023
35,Candice,Robinson,09/08/1942,Disturbance,29/05/2023
36,Michael,Vance,16/07/1947,Disturbance,17/01/2023
37,Margaret,Steele,02/11/1987,Refused to comply with safety instructions,31/05/2023
38,Christopher,Keith,04/12/2003,Disturbance,01/11/2023
39,Rhonda,Barton,15/03/1972,Sexual assault,15/03/2023
40,Diana,Smith,30/03/1950,Disturbance,16/09/2023
41,Kevin,Crosby,18/01/1958,Physical assault,17/04/2023
42,Amanda,Zimmerman,09/06/2004,Disturbance,02/11/2023
43,Julie,Erickson,25/02/1978,Sexual assault,25/12/2023
44,Cheryl,Smith,06/02/1972,Sexual assault,10/03/2023
45,Kim,Henderson,17/06/1960,Verbal assault,11/10/2023
46,Linda,Osborne,12/07/1957,Disturbance,29/09/2023
47,Sarah,Clarke,13/03/1954,Physical assault,09/05/2023
48,Samantha,Rivera,20/04/1996,Disturbance,17/09/2023
49,Bianca,Oconnor,13/12/1956,Physical assault,06/12/2023
50,Keith,Burgess,26/08/1944,Intoxication,10/11/2023
51,Matthew,Hunt,08/11/1953,Intoxication,09/11/2023
52,Ashley,Nichols,07/12/1950,Intoxication,24/05/2023
53,John,Williams,07/03/1949,Verbal assault,26/03/2023
54,Christina,Briggs,22/08/2004,Disturbance,09/04/2023
55,Nicholas,Browning,27/02/1986,Disturbance,06/02/2023
56,Jose,Morgan,30/06/1956,Verbal assault,12/10/2023
57,James,Livingston,12/05/1952,Sexual assault,24/11/2023
58,Michael,Lawson,10/05/1992,Verbal assault,21/08/2023
59,Timothy,Byrd,17/11/1987,Physical assault,25/05/2023
60,Angela,Dean,30/06/1995,Disturbance,26/06/2023
61,Anthony,Martinez,20/12/1976,Refused to comply with safety instructions,10/06/2023
62,Frank,Hunt,14/05/1963,Verbal assault,06/12/2023
63,Chelsea,White,27/02/2000,Disturbance,22/07/2023
64,Bryce,Andrews,03/10/1983,Intoxication,27/08/2023
65,Charles,Gilbert,21/09/1953,Verbal assault,02/06/2023
66,Maria,Robinson,02/12/1958,Physical assault,08/02/2023
67,Patrick,Smith,03/03/1997,Disturbance,01/02/2023
68,Tina,Wilson,13/02/1980,Refused to comply with safety instructions,20/09/2023
69,Brittany,Williams,04/01/1973,Disturbance,20/04/2023
70,Cesar,Gray,27/02/1986,Intoxication,24/12/2023
71,Melissa,Walters,21/03/2005,Disturbance,12/05/2023
72,Michael,Evans,19/02/1990,Intoxication,22/01/2023
73,Chase,Shaw,18/09/1979,Verbal assault,13/07/2023
74,Bradley,Wilcox,03/06/1954,Refused to comply with safety instructions,25/03/2023
75,Danny,Silva,04/10/1984,Intoxication,19/09/2023
76,Bryan,Ponce,23/06/2004,Verbal assault,12/07/2023
77,Anthony,Medina,26/07/1964,Verbal assault,09/06/2023
78,Luis,Moreno,02/08/1965,Disturbance,13/05/2023
79,Ashley,Harris,06/04/1957,Physical assault,03/08/2023
80,Maria,Fischer,15/06/1989,Refused to comply with safety instructions,11/06/2023
81,Sean,Roth,01/10/1944,Disturbance,14/03/2023
82,Heidi,Ball,22/02/1976,Sexual assault,22/10/2023
83,Tamara,Cardenas,07/09/1994,Sexual assault,14/08/2023
84,Jill,Sparks,10/10/1996,Physical assault,08/06/2023
85,Elizabeth,Turner,12/05/1991,Disturbance,09/04/2023
86,Paige,Esparza,03/09/2000,Sexual assault,27/12/2023
